id;code;description;processor
1;strategic Fantástico Dollar;Indian;invoice Joyería Negro
2;Dollar Práctico;Verde Ensalada Amarillo;Bedfordshire estructura Raton
3;feed;Bedfordshire Borders;complejidad Práctico web
4;24/365 multitarea Investment;vortals;redundant data-warehouse
5;Valenciana web-enabled;Violeta;Bacon actitud
6;systems transmitter Acero;Yemen Card;Investment generate
7;red;Moda medición;Sabroso
8;collaborative Pelota Personal;utilize web-readiness navigating;bluetooth
9;Huerta evolve parse;wireless;de sticky Granito
10;productize Mascotas;Macao Plaza Islands;collaborative Salchichas
