id;value;rollover_value;credit_sale;manual_counter;manual_multiplier;decimals_manual_counter;device_id
e02053f3-9951-4ade-bba2-bdf9669f4887;84735;75991;83110;true;67511;true;44d72ccd-44d0-4b29-88b1-db1756095203
fba5143a-207e-4829-8445-6cba81cc0b66;59813;25507;3737;false;42326;true;a3d9329e-b49c-43b7-9cee-4cf4d911ee39
8ffa43ae-35fe-43d9-af26-3f45aaf852b2;910;71181;40999;true;55293;true;0c77c5f5-fcda-44a2-85da-8f378bec13ed
85701ecf-186e-461a-936f-8c663f9e49ef;78698;71200;59895;false;19094;true;d048a7d7-f0c5-4511-ac46-93aa21fc2199
53a12cad-f728-4dc2-abdf-ba3087252fdb;5415;88055;23009;false;40785;false;575700ed-704a-4ce4-94df-5f83d8da8139
842368a4-85d8-4aad-86df-299d99b9f799;31802;86998;69124;true;89801;false;c5413a87-0502-4b0a-9a99-564fef713eb1
49bcb6c5-9e6f-41bd-b682-59e03623fb03;29667;77294;95102;true;21323;true;02b9b3f2-7e32-446b-b733-41ceda6feb14
2662b71b-543e-4a20-865f-9d701b60c234;60704;95374;78579;true;19298;true;1dc4c828-3093-4f7d-a0d2-f75e0f6734f4
de18c834-2ae9-41d6-92a6-8024d28d54c5;39896;80886;93855;true;76101;true;64162cbb-e21d-4f0f-9362-99d232c41a54
25ebeaf1-589c-4be4-9468-10d67f095f20;17021;8192;24139;true;14316;true;cf4ec37f-3a55-49f5-991c-52038564795c
