id;code;name;identifier;default_language
1;vortals Coche Extramuros;virtual Riyal;Acero optimize;defin
2;Account Ladrillo;Plástico ejecutiva;servidor;Hormi
3;back RAM fritas;deposit generación Bulgarian;Credit Mejorado Estr;críti
4;Granito;cross-platform Artesanal;Cambridgeshire Arabi;invoi
5;Morado robust infomediari;y de;Vía Moda;backi
6;Sorprendente Valenciana E;Pakistan markets Factores;program wireless;Cambr
7;Director Versatil;Ghana;Acero Rústico;Cara
8;parsing;mindshare;methodologies Client;PNG o
9;ubiquitous Bacon;cross-media;interactive capacito;Loan 
10;Acero;inteligencia;application País;emula
