id;name;code;symbol;is_priority;location;exchange_rate;decimal_places;decimal_separator;thousand_separator;description;establishment_id
1;Madera Hormigon;Cen;Ofici;true;bluetooth interface y;86311;49609;E;B;Inteligente paralelismo fritas;1
2;Berkshire;a U;JBOD ;true;Avon primary;76690;66176;a;M;content mesh;2
3;Marca;Com;depos;false;Amarillo monitorizada de;99331;30765;F;V;system;3
4;users Tácticas Equilibrado;ban;Adapt;false;bandwidth;76418;89874;q;I;out-of-the-box;4
5;Borders Hecho;Inf;Galic;true;whiteboard payment grupo;85495;4476;P;c;AI;5
6;Inversor Cambridgeshire intuitive;cal;intui;false;platforms;42536;8853;G;p;technologies collaborative Personal;6
7;Orígenes Bedfordshire;Avo;estru;false;capacidad programming ADP;66541;93959;R;F;Pescado Joyería;7
8;robust Mesa deploy;eff;Guapo;true;Travesía;28636;64332;D;D;CSS CFA schemas;8
9;invoice Cine;Ran;compu;true;RSS Camiseta;91265;5052;G;P;leading-edge;9
10;Suecia Deportes tolerancia;str;white;false;SSL archivo Cambridgeshire;27881;22375;A;m;RAM Rojo;10
