id;serial;is_protocol_esdcs;number_played_report;sas_denomination;is_multigame;is_multi_denomination;is_retanqueo;state;theoretical_hold;sas_identifier;credit_limit;has_hooper;coljuegos_code;fabrication_date;current_token;denomination_tito;end_lost_communication;start_lost_communication;report_multiplier;nuid;pay_manual_prize;manual_handpay;manual_jackpot;manual_game_event;bet_code;homologation_indicator;coljuegos_model;reportable;aft_denomination;last_update_date;enable_rollover;last_corruption_date;daft_denomination;prizes_enabled;currency_type_id;isle_id;model_id;device_category_id;device_type_id
44d72ccd-44d0-4b29-88b1-db1756095203;Acero Sorprendente Ejecutivo;true;90796;1012;true;true;true;Metal Interacciones;31230;82750;50121;true;distributed Azul Morado;2021-09-27;22348;35381;2021-09-27T13:36:13;2021-09-27T15:25:26;47449;Aragón;false;false;false;false;payment;false;transmitting Práctico Checking;true;44476;2021-09-26T23:45:23;true;2021-09-27T00:33:15;20012;true;3807;60733;1;1;1
a3d9329e-b49c-43b7-9cee-4cf4d911ee39;mano hacking copying;true;36237;12352;true;true;true;innovadora Funcionario;86994;4547;67401;true;Marroquinería;2021-09-27;11700;73229;2021-09-26T23:02:54;2021-09-27T14:23:22;32886;calculating;false;true;false;false;Islas Pescado evolve;false;Cambridgeshire Shilling;false;30312;2021-09-27T02:44:28;false;2021-09-27T11:50:11;54771;true;85148;27475;2;2;2
0c77c5f5-fcda-44a2-85da-8f378bec13ed;Cantabria Ejecutivo Senior;false;91340;93258;false;false;false;Nacional deliver;63237;62406;43270;false;system synthesize Electrónica;2021-09-26;40349;73329;2021-09-27T11:41:55;2021-09-27T14:27:18;76143;Valenciana;false;true;true;false;dot-com;false;wireless virtual;true;37042;2021-09-27T10:39:22;true;2021-09-27T17:34:22;56850;true;74567;79495;3;3;3
d048a7d7-f0c5-4511-ac46-93aa21fc2199;Account;false;33577;79573;false;true;false;Zapatos Personal;56667;56850;62763;false;index Moda exploit;2021-09-27;54254;29257;2021-09-27T10:18:45;2021-09-27T17:56:53;21558;matrix;true;true;false;false;Centralizado;false;Regional Extremadura;false;79776;2021-09-27T10:10:34;true;2021-09-27T00:08:03;46565;true;58683;63518;4;4;4
575700ed-704a-4ce4-94df-5f83d8da8139;compressing;false;19173;26503;true;true;false;models;42418;11998;97921;true;transmitting Sabroso Plástico;2021-09-27;98220;67300;2021-09-27T13:43:32;2021-09-27T17:16:17;54795;Account Plástico Amarillo;true;true;true;false;caja;true;firewall Azul;true;95495;2021-09-26T21:27:47;true;2021-09-27T09:42:15;62005;true;58162;64717;5;5;5
c5413a87-0502-4b0a-9a99-564fef713eb1;Juguetería Atún;false;26160;62001;true;true;true;Adaptativo Card;69425;31996;17747;false;generate cutting-edge Account;2021-09-27;29019;23896;2021-09-27T00:26:08;2021-09-27T18:41:05;54124;Ladrillo;true;true;true;true;Hormigon;false;infomediaries;false;71372;2021-09-27T18:24:47;false;2021-09-26T21:16:30;2920;false;45665;63759;6;6;6
02b9b3f2-7e32-446b-b733-41ceda6feb14;navigate;true;90583;38202;false;false;false;Account Rojo;77929;37330;21191;false;JSON Senior Vasco;2021-09-27;48188;90298;2021-09-27T13:46:36;2021-09-27T00:34:58;34421;primary;true;false;false;false;medición;false;Pelota;false;45009;2021-09-27T18:50:01;false;2021-09-27T08:25:45;37302;false;42969;3527;7;7;7
1dc4c828-3093-4f7d-a0d2-f75e0f6734f4;Entrada Bicicleta withdrawal;false;51194;8268;true;false;true;Hecho payment;73647;67541;69332;true;Plaza Reactivo;2021-09-26;5357;17911;2021-09-27T11:23:03;2021-09-27T03:52:28;39401;Ladrillo Deportes Inteligente;false;false;false;true;sensor Salchichas Refinado;true;Humano heurística Calidad;false;62712;2021-09-27T14:21:25;true;2021-09-27T16:52:39;86233;true;30258;9872;8;8;8
64162cbb-e21d-4f0f-9362-99d232c41a54;Cambridgeshire connecting invoice;false;45838;7255;true;true;false;Barrio;88862;17984;71207;false;Camiseta Savings;2021-09-27;4407;88687;2021-09-27T02:16:20;2021-09-27T14:44:22;79228;Atún programming;true;false;true;true;Optimización Atún hack;false;Compatible Hogar Respuesta;false;57762;2021-09-26T22:26:09;false;2021-09-26T23:26:30;70838;false;68069;14251;9;9;9
cf4ec37f-3a55-49f5-991c-52038564795c;concepto withdrawal;true;48004;97905;true;false;true;Camiseta;59337;870;49880;true;innovative Reino;2021-09-27;65165;61997;2021-09-26T20:34:29;2021-09-27T13:31:33;95481;engineer Supervisor Regional;true;false;true;true;Ensalada Total Videojuegos;true;local;true;17819;2021-09-27T02:03:08;true;2021-09-27T02:51:58;60366;false;54353;78579;10;10;10
