id;registration_at;departure_at;device_number;consecutive_device;establishment_id;negative_award
9be81245-d89a-43c0-9538-fceb632175a9;2021-09-27T08:07:10;2021-09-27T07:36:48;13991;62109;15086;3590
56ecd71c-7cbd-47ac-acf4-9bde287dc939;2021-09-27T06:18:46;2021-09-27T13:46:54;44252;30008;94242;27096
8d3b9007-9ddd-40c9-981a-7f5251eceab6;2021-09-27T17:14:29;2021-09-27T11:17:30;74816;26226;76806;57899
95ef834b-7b32-4171-964d-518d210ea4cb;2021-09-27T05:36:53;2021-09-27T17:24:01;89904;42548;43086;35692
0b0328a5-c197-44f9-8a0b-ffbe2de7d7d9;2021-09-26T23:22:56;2021-09-27T13:01:44;73770;3124;27587;5927
08433d22-743b-485c-ab0c-65e3ca2b2586;2021-09-27T01:54:57;2021-09-26T21:24:53;56668;52660;12520;21731
8d69da6c-5b02-4ae3-b41f-d6429cab8cc9;2021-09-27T15:19:24;2021-09-27T18:00:17;58724;96942;88664;18604
c266db84-4e92-40c2-bde0-6fff1b97df15;2021-09-27T16:32:40;2021-09-27T07:25:32;5220;62268;70954;77279
2ad8ef9d-85a9-4724-91e8-5b14b1b365f3;2021-09-27T05:46:53;2021-09-26T20:39:15;19423;70820;15169;45775
683891e9-1245-4ed5-a4a3-05f5cb866dae;2021-09-26T21:25:49;2021-09-27T18:42:32;62230;34956;95590;55531
