id;start_date;end_date;establishment_id;state
1;2021-09-27T08:50:30;2021-09-27T10:55:13;17244;STOCK
2;2021-09-27T18:14:38;2021-09-27T05:11:19;13954;STOCK
3;2021-09-27T02:35:10;2021-09-27T01:12:40;39541;STOCK
4;2021-09-27T05:36:27;2021-09-27T06:01:50;14046;OPERATION
5;2021-09-27T13:07:40;2021-09-26T20:35:25;91352;OPERATION
6;2021-09-27T06:42:15;2021-09-27T18:23:19;58565;STOCK
7;2021-09-26T22:54:34;2021-09-27T04:05:37;6565;STOCK
8;2021-09-27T15:46:13;2021-09-27T10:50:25;85358;OPERATION
9;2021-09-27T04:04:39;2021-09-27T08:03:11;63110;MAINTENANCE
10;2021-09-27T08:18:09;2021-09-27T01:36:58;49625;STOCK
