id;event_code;sas_code;description;is_storable;is_priority;procesador;is_alarm
1;EXE;Personal Rua de;Sorprendente Checking;true;false;programming copying;false
2;negocio integrated C;Creativo generating compressing;Madrid Barrio optical;false;true;reboot;false
3;SAS Inteligente;Borders payment;parse bus Credit;false;false;payment International;false
4;y Pantalones Money;Adelante Gerente;Bloque parsing;false;false;hard Cambridgeshire y;false
5;bricks-and-clicks pr;Pizza hacking;next-generation Personal vortals;true;false;cross-platform;true
6;up Moda productivida;Refinado Azul Ensalada;analista website;true;false;Granito;true
7;capacitor;homogénea USB Palladium;Bedfordshire;true;false;Borders cliente;true
8;Diseñador enable;revolutionize;deposit Pizza;false;true;canal system;true
9;Implementación Navar;Algodón Implementado Dinánmico;Mancha;true;false;deposit navigating;true
10;Atún Dinánmico;cliente Ordenador Avon;THX objetos;false;true;asíncrona producto Metal;false
