id;is_assigned;ip_address;hash;serial;version;port
1;false;a;Bedfordshire Galicia;communities;quantify A;País
2;true;Hormigon Islas;acceso withdrawal;ubiquitous Plástico 24/7;Negro Plás;wireless p
3;true;Orientado FTP;infomediaries technologies de;Hormigon RSS;Dinánmico ;Somoni
4;true;Metal value-added;Vietnam;Ergonómico Sorprendente;cultivate ;Adelante c
5;false;Castilla Ergonómico Merca;navigating interface;Money;indexing e;Berkshire 
6;true;Auto mesh;Verde;codificar;Artesanal ;Queso
7;true;no-volátil Pequeño;Pollo Blanco Metal;Raton actitud;Account;Perseveran
8;false;XSS Madera Vatu;Explanada Heredado Artesanal;Operaciones Algodón;firmware;Sri
9;true;payment Ergonómico pixel;Rua;de Mancha Teclado;solid SMS ;multimedia
10;false;Violeta transmitting Rato;Parafarmacia;potenciada Videojuegos generación;deliverabl;HDD virtua
