id;code;name;subtract_bonus;collection_ceil;rollover_limit;manufacturer_id
1;Berkshire;Ladrillo;false;38132;69420;1
2;Joyería Gorro;array overriding Ladrillo;false;77244;56120;2
3;B2C robust;Bermuda withdrawal;true;44688;1434;3
4;Ensalada;Identidad bus Negro;true;40378;46580;4
5;Acero seize Murcia;Gris Herzegovina;false;8818;14752;5
6;Camiseta Bedfordshire;dinámica mano optimizada;true;71538;59365;6
7;Account;Checking vortals;false;91327;87940;7
8;Pequeño;Municipio;true;92396;96877;8
9;distributed;invoice Manzana Azul;false;45063;37592;9
10;Cayman panel Moda;orquestar innovadora withdrawal;true;46720;74182;10
