id;code;name;dane_code;province_id
1;Castilla-La SCSI rich;Credit Sincronizado Hormigon;Navarra;1
2;Comunidad withdrawal Blan;Cambridgeshire Cliente Guapa;JBOD Camiseta;2
3;por;e-commerce;Aplicaciones Conjunto;3
4;auxiliary Ordenador Mader;SDR;Metal JBOD;4
5;Asimilado;compressing Investigación compressing;Auto multiestado Guapo;5
6;Mobilidad;index connecting;deposit Madera;6
7;Identidad;enhance Madera;Dinánmico program;7
8;Comunidad Ordenador Nacio;online;Inteligente collaborative;8
9;e-business withdrawal FTP;neural generate;Kwacha multi-byte;9
10;Heredado CSS bypassing;Rusia Marca Francia;Bicicleta Reino Navarra;10
