id;code;name;dane_code;phone_id;country_id
1;Heredado Pasaje as;application;USB;Identidad;1
2;value-added facilitate pa;Naira;navigate IB;THX;2
3;matrix;incentivize gráfico;Guantes applications bypa;Terrenos Won;3
4;repurpose Ladrillo eyebal;Pantalones;Representante;Account Cantabr;4
5;Arquitecto Investment Nic;invoice;tangible;Singapur Salchi;5
6;paralelismo Granito;Decoración;interactiva Granito;initiatives con;6
7;Identidad Creativo;Centralizado discreta;Central Hormigon Refinado;neural Bloque M;7
8;Vasco;paradigma facilitate Andalucía;Corporativo JBOD Hecho;Lado;8
9;initiatives global;Algodón Operaciones deposit;metrics proactive bandwid;open-source Mes;9
10;compress Verde strategize;Gris haptic;brand;synthesizing;10
